"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-15","5.5",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-16","4.7",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"14.4",",,X","0.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-17","4.3",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"22.2",",,X","6.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-18","5.0",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"25.0",",,X","11.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-19","9.4",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"15.0",",,X","3.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-20","4.0",",,W","0.0","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"10.0",",,X","0.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-21","5.5",",,W","3.6",",,X,2400","5.0",",,X,","0.0",",,X,",,,"12.8",",,X","-1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-22","4.2",",,W","1.8",",,X,2400","5.0",",,X,","0.0","T,,X,",,,"2.8",",,X","-2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-23","1.7",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"7.8",",,X","-3.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-24","4.7",",,W","1.5",",,X,2400","0.0",",,X,","0.0",",,X,",,,"11.7",",,X","-0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-25","6.9",",,W","6.9",",,X,2400","0.0",",,X,","0.0",",,X,",,,"19.4",",,X","2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-26","3.5",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"9.4",",,X","1.7",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-27","2.1",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"15.6",",,X","2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-28","4.9",",,W","16.8",",,X,2400","0.0",",,X,","0.0",",,X,",,,"22.2",",,X","5.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-01","3.8",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-02","6.2",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"17.8",",,X","1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-03","3.8",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.0",",,X","-2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-04","3.7",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.0",",,X","-1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-05","5.0",",,W","0.0","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"15.6",",,X","5.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-06","6.1",",,W","35.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"14.4",",,X","0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-07","6.5",",,W","0.5",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"8.9",",,X","0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-08","2.2",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"11.1",",,X","0.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-09","4.2",",,W","1.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.9",",,X","2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-10","5.0",",,W","35.8",",,X,2400","0.0",",,X,","0.0",",,X,",,,"13.3",",,X","7.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-11","4.2",",,W","0.5",",,X,2400","0.0",",,X,","0.0",",,X,",,,"9.4",",,X","3.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-12","4.0",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"14.4",",,X","1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-13","5.0",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"15.0",",,X","3.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-14","2.6",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"11.7",",,X","2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-15","3.6",",,W","5.8",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.6",",,X","1.7",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-16","4.0",",,W","10.4",",,X,2400","0.0",",,X,","0.0",",,X,",,,"13.9",",,X","5.0",",,X"
